Date,AYRO,CENN,EVTV,FUV,GOEV,GP,KNDI,LCID,LI,NIO,PEV,PSNY,REE,RIVN,TSLA,VFS,VLCN,WKHS,XOS,XPEV,ZAPP
2004-09-16,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-17,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-20,1206374.375,,,,,,,,,,,,,,,,,,,,
2004-09-21,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-22,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-23,1224115.25,,,,,,,,,,,,,,,,,,,,
2004-09-24,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-27,1206374.375,,,,,,,,,,,,,,,,,,,,
2004-09-28,1206374.375,,,,,,,,,,,,,,,,,,,,
2004-09-29,1170892.75,,,,,,,,,,,,,,,,,,,,
2004-09-30,1135411.25,,,,,,,,,,,,,,,,,,,,
2004-10-01,1259596.75,,,,,,,,,,,,,,,,,,,,
2004-10-04,1153152.0,,,,,,,,,,,,,,,,,,,,
2004-10-05,1099929.625,,,,,,,,,,,,,,,,,,,,
2004-10-06,975744.0,,,,,,,,,,,,,,,,,,,,
2004-10-07,993484.8125,,,,,,,,,,,,,,,,,,,,
2004-10-08,1046707.1875,,,,,,,,,,,,,,,,,,,,
2004-10-11,1046707.1875,,,,,,,,,,,,,,,,,,,,
2004-10-12,1046707.1875,,,,,,,,,,,,,,,,,,,,
2004-10-13,1028966.375,,,,,,,,,,,,,,,,,,,,
2004-10-14,1064448.0,,,,,,,,,,,,,,,,,,,,
2004-10-15,1064448.0,,,,,,,,,,,,,,,,,,,,
2004-10-18,975744.0,,,,,,,,,,,,,,,,,,,,
2004-10-19,1046707.1875,,,,,,,,,,,,,,,,,,,,
2004-10-20,1046707.1875,,,,,,,,,,,,,,,,,,,,
2004-10-21,975744.0,,,,,,,,,,,,,,,,,,,,
2004-10-22,975744.0,,,,,,,,,,,,,,,,,,,,
2004-10-25,904780.8125,,,,,,,,,,,,,,,,,,,,
2004-10-26,975744.0,,,,,,,,,,,,,,,,,,,,
2004-10-27,975744.0,,,,,,,,,,,,,,,,,,,,
2004-10-28,993484.8125,,,,,,,,,,,,,,,,,,,,
2004-10-29,975744.0,,,,,,,,,,,,,,,,,,,,
2004-11-01,975744.0,,,,,,,,,,,,,,,,,,,,
2004-11-02,958003.1875,,,,,,,,,,,,,,,,,,,,
2004-11-03,958003.1875,,,,,,,,,,,,,,,,,,,,
2004-11-04,887040.0,,,,,,,,,,,,,,,,,,,,
2004-11-05,975744.0,,,,,,,,,,,,,,,,,,,,
2004-11-08,1064448.0,,,,,,,,,,,,,,,,,,,,
2004-11-09,1117670.375,,,,,,,,,,,,,,,,,,,,
2004-11-10,1224115.25,,,,,,,,,,,,,,,,,,,,
2004-11-11,1135411.25,,,,,,,,,,,,,,,,,,,,
2004-11-12,1153152.0,,,,,,,,,,,,,,,,,,,,
2004-11-15,1153152.0,,,,,,,,,,,,,,,,,,,,
2004-11-16,1064448.0,,,,,,,,,,,,,,,,,,,,
2004-11-17,887040.0,,,,,,,,,,,,,,,,,,,,
2004-11-18,904780.8125,,,,,,,,,,,,,,,,,,,,
2004-11-19,869299.1875,,,,,,,,,,,,,,,,,,,,
2004-11-22,816076.8125,,,,,,,,,,,,,,,,,,,,
2004-11-23,887040.0,,,,,,,,,,,,,,,,,,,,
2004-11-24,887040.0,,,,,,,,,,,,,,,,,,,,
2004-11-26,887040.0,,,,,,,,,,,,,,,,,,,,
2004-11-29,904780.8125,,,,,,,,,,,,,,,,,,,,
2004-11-30,887040.0,,,,,,,,,,,,,,,,,,,,
2004-12-01,887040.0,,,,,,,,,,,,,,,,,,,,
2004-12-02,869299.1875,,,,,,,,,,,,,,,,,,,,
2004-12-03,833817.625,,,,,,,,,,,,,,,,,,,,
2004-12-06,851558.375,,,,,,,,,,,,,,,,,,,,
2004-12-07,816076.8125,,,,,,,,,,,,,,,,,,,,
2004-12-08,798336.0,,,,,,,,,,,,,,,,,,,,
2004-12-09,727372.8125,,,,,,,,,,,,,,,,,,,,
2004-12-10,745113.625,,,,,,,,,,,,,,,,,,,,
2004-12-13,727372.8125,,,,,,,,,,,,,,,,,,,,
2004-12-14,709632.0,,,,,,,,,,,,,,,,,,,,
2004-12-15,851558.375,,,,,,,,,,,,,,,,,,,,
2004-12-16,709632.0,,,,,,,,,,,,,,,,,,,,
2004-12-17,709632.0,,,,,,,,,,,,,,,,,,,,
2004-12-20,691891.1875,,,,,,,,,,,,,,,,,,,,
2004-12-21,691891.1875,,,,,,,,,,,,,,,,,,,,
2004-12-22,727372.8125,,,,,,,,,,,,,,,,,,,,
2004-12-23,745113.625,,,,,,,,,,,,,,,,,,,,
2004-12-27,745113.625,,,,,,,,,,,,,,,,,,,,
2004-12-28,745113.625,,,,,,,,,,,,,,,,,,,,
2004-12-29,727372.8125,,,,,,,,,,,,,,,,,,,,
2004-12-30,798336.0,,,,,,,,,,,,,,,,,,,,
2004-12-31,780595.1875,,,,,,,,,,,,,,,,,,,,
2005-01-03,780595.1875,,,,,,,,,,,,,,,,,,,,
2005-01-04,851558.375,,,,,,,,,,,,,,,,,,,,
2005-01-05,869299.1875,,,,,,,,,,,,,,,,,,,,
2005-01-06,851558.375,,,,,,,,,,,,,,,,,,,,
2005-01-07,851558.375,,,,,,,,,,,,,,,,,,,,
2005-01-10,887040.0,,,,,,,,,,,,,,,,,,,,
2005-01-11,813120.0,,,,,,,,,,,,,,,,,,,,
2005-01-12,823468.8125,,,,,,,,,,,,,,,,,,,,
2005-01-13,887040.0,,,,,,,,,,,,,,,,,,,,
2005-01-14,997920.0,,,,,,,,,,,,,,,,,,,,
2005-01-18,968352.0,,,,,,,,,,,,,,,,,,,,
2005-01-19,901824.0,,,,,,,,,,,,,,,,,,,,
2005-01-20,885561.625,,,,,,,,,,,,,,,,,,,,
2005-01-21,876691.1875,,,,,,,,,,,,,,,,,,,,
2005-01-24,813120.0,,,,,,,,,,,,,,,,,,,,
2005-01-25,805728.0,,,,,,,,,,,,,,,,,,,,
2005-01-26,783552.0,,,,,,,,,,,,,,,,,,,,
2005-01-27,776160.0,,,,,,,,,,,,,,,,,,,,
2005-01-28,813120.0,,,,,,,,,,,,,,,,,,,,
2005-01-31,813120.0,,,,,,,,,,,,,,,,,,,,
2005-02-01,776160.0,,,,,,,,,,,,,,,,,,,,
2005-02-02,790944.0,,,,,,,,,,,,,,,,,,,,
2005-02-03,842688.0,,,,,,,,,,,,,,,,,,,,
2005-02-04,842688.0,,,,,,,,,,,,,,,,,,,,
2005-02-07,842688.0,,,,,,,,,,,,,,,,,,,,
2005-02-08,798336.0,,,,,,,,,,,,,,,,,,,,
2005-02-09,842688.0,,,,,,,,,,,,,,,,,,,,
2005-02-10,872256.0,,,,,,,,,,,,,,,,,,,,
2005-02-11,881126.375,,,,,,,,,,,,,,,,,,,,
2005-02-14,872256.0,,,,,,,,,,,,,,,,,,,,
2005-02-15,931392.0,,,,,,,,,,,,,,,,,,,,
2005-02-16,931392.0,,,,,,,,,,,,,,,,,,,,
2005-02-17,887040.0,,,,,,,,,,,,,,,,,,,,
2005-02-18,968352.0,,,,,,,,,,,,,,,,,,,,
2005-02-22,968352.0,,,,,,,,,,,,,,,,,,,,
2005-02-23,968352.0,,,,,,,,,,,,,,,,,,,,
2005-02-24,968352.0,,,,,,,,,,,,,,,,,,,,
2005-02-25,960960.0,,,,,,,,,,,,,,,,,,,,
2005-02-28,894432.0,,,,,,,,,,,,,,,,,,,,
2005-03-01,916608.0,,,,,,,,,,,,,,,,,,,,
2005-03-02,887040.0,,,,,,,,,,,,,,,,,,,,
2005-03-03,887040.0,,,,,,,,,,,,,,,,,,,,
2005-03-04,901824.0,,,,,,,,,,,,,,,,,,,,
2005-03-07,909216.0,,,,,,,,,,,,,,,,,,,,
2005-03-08,953568.0,,,,,,,,,,,,,,,,,,,,
2005-03-09,953568.0,,,,,,,,,,,,,,,,,,,,
2005-03-10,916608.0,,,,,,,,,,,,,,,,,,,,
2005-03-11,901824.0,,,,,,,,,,,,,,,,,,,,
2005-03-14,901824.0,,,,,,,,,,,,,,,,,,,,
2005-03-15,901824.0,,,,,,,,,,,,,,,,,,,,
2005-03-16,916608.0,,,,,,,,,,,,,,,,,,,,
2005-03-17,854515.1875,,,,,,,,,,,,,,,,,,,,
2005-03-18,857472.0,,,,,,,,,,,,,,,,,,,,
2005-03-21,857472.0,,,,,,,,,,,,,,,,,,,,
2005-03-22,857472.0,,,,,,,,,,,,,,,,,,,,
2005-03-23,850080.0,,,,,,,,,,,,,,,,,,,,
2005-03-24,894432.0,,,,,,,,,,,,,,,,,,,,
2005-03-28,887040.0,,,,,,,,,,,,,,,,,,,,
2005-03-29,872256.0,,,,,,,,,,,,,,,,,,,,
2005-03-30,864864.0,,,,,,,,,,,,,,,,,,,,
2005-03-31,879648.0,,,,,,,,,,,,,,,,,,,,
2005-04-01,879648.0,,,,,,,,,,,,,,,,,,,,
2005-04-04,842688.0,,,,,,,,,,,,,,,,,,,,
2005-04-05,817555.1875,,,,,,,,,,,,,,,,,,,,
2005-04-06,864864.0,,,,,,,,,,,,,,,,,,,,
2005-04-07,848601.625,,,,,,,,,,,,,,,,,,,,
2005-04-08,855993.625,,,,,,,,,,,,,,,,,,,,
2005-04-11,820512.0,,,,,,,,,,,,,,,,,,,,
2005-04-12,850080.0,,,,,,,,,,,,,,,,,,,,
2005-04-13,827904.0,,,,,,,,,,,,,,,,,,,,
2005-04-14,813120.0,,,,,,,,,,,,,,,,,,,,
2005-04-15,777638.375,,,,,,,,,,,,,,,,,,,,
2005-04-18,804249.625,,,,,,,,,,,,,,,,,,,,
2005-04-19,798336.0,,,,,,,,,,,,,,,,,,,,
2005-04-20,798336.0,,,,,,,,,,,,,,,,,,,,
2005-04-21,827904.0,,,,,,,,,,,,,,,,,,,,
